iter	Passed	Remaining
0	2	236
1	4	240
2	7	235
3	9	224
4	12	229
5	14	233
6	17	225
7	19	224
8	21	220
9	23	215
10	25	205
11	27	198
12	28	189
13	30	185
14	32	181
15	33	177
16	35	171
17	36	165
18	37	160
19	38	155
20	40	151
21	41	146
22	42	142
23	44	139
24	45	137
25	47	133
26	48	129
27	49	126
28	50	122
29	51	119
30	52	116
31	53	113
32	54	110
33	55	108
34	56	105
35	57	102
36	58	100
37	60	98
38	61	95
39	62	93
40	63	91
41	64	88
42	65	87
43	66	85
44	67	83
45	69	81
46	70	79
47	71	77
48	72	75
49	73	73
50	74	71
51	75	69
52	76	67
53	78	66
54	78	64
55	79	62
56	80	61
57	82	59
58	83	57
59	84	56
60	85	54
61	86	53
62	88	51
63	89	50
64	90	48
65	91	47
66	92	45
67	93	44
68	94	42
69	95	41
70	97	39
71	98	38
72	99	36
73	100	35
74	101	33
75	102	32
76	103	31
77	105	29
78	106	28
79	108	27
80	109	25
81	110	24
82	111	22
83	112	21
84	113	20
85	114	18
86	115	17
87	117	15
88	118	14
89	119	13
90	120	11
91	121	10
92	122	9
93	123	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	131	0
